week,dates,product_must_win,traction_must_win,metis_must_win,company_or_fundraising_must_win,cumulative_activated_external_target,verified_w4_retained_target,status,proof_link,blocker,next_action
1,2026-07-14 to 2026-07-20,"Funnel spec; D-U-N-S/store account start; replace Android package-id plan","Recruit first 5 external testers; 5 interviews booked","Freeze 1.6 scope and evaluation contract","Corporate document inventory; draft YC and SPC applications",0,0,,,,
2,2026-07-21 to 2026-07-27,"First installable iOS and Android internal builds; event QA","5 external learners activated","Packed MoRE unit tests and parity evidence","Submit YC by July 27",5,0,,,,
3,2026-07-28 to 2026-08-03,"Closed beta; crash and account-deletion checklist","8 external learners activated; 10 total interviews","Router-collapse tests; checkpoint/resume smoke","Submit SPC by August 2; submit 1517/Afore/Z",8,0,,,,
4,2026-08-04 to 2026-08-10,"TestFlight/Play internal-test candidate; store metadata draft","12 activated; first measured study sessions","1B-token or equivalent architecture smoke; throughput measured","One-page family-money fact memo; marketing attribution audit",12,0,,,,
5,2026-08-11 to 2026-08-17,"Beta defects triaged; privacy/data-safety forms drafted","16 activated; follow-up every activated learner","Compute go/no-go; start one-GPU lane if that is the only secured path","Choose LLC-to-C-corp route pending LLC state; request free clinic review",16,0,,,,
6,2026-08-18 to 2026-08-24,"Release candidate 1; subscription and account deletion verified","20 activated; first W4-retained learner","Full 300B run starts by Aug 24 on two GPUs or fallback is triggered","Signed founder/family factual acknowledgments drafted",20,1,,,,
7,2026-08-25 to 2026-08-31,"Submit to both stores if release gates pass","25 activated; 1 W4 retained; 15 measured sessions","Training health report; preemption recovery proven","Application update packet for YC/SPC if relevant",25,1,,,,
8,2026-09-01 to 2026-09-07,"Soft launch or fix review feedback within 48 hours","28 activated; 2 W4 retained","No full-run start by Sep 1 means publishable scaled fallback, not a promised full model","Pitch narrative v0: learner problem, product loop, model moat",28,2,,,,
9,2026-09-08 to 2026-09-14,"Onboarding friction fixed from recordings/interviews","30 activated; 3 W4 retained; first case study","Evaluation harness frozen against named baselines","Data room skeleton and cap-table reconstruction",30,3,,,,
10,2026-09-15 to 2026-09-21,"Both stores public or written blocker and workaround","36 activated; 4 W4 retained","Mid-run loss/router/throughput report","Founder story, one-liner, 2-minute demo script",36,4,,,,
11,2026-09-22 to 2026-09-28,"Crash-free sessions and critical funnel monitored weekly","42 activated; 5 W4 retained; 30 measured study sessions","Mid-run checkpoint evaluated; no benchmark cherry-picking","Investor CRM reaches 50 researched targets",42,5,,,,
12,2026-09-29 to 2026-10-05,"Pricing/paywall path works; first payment attempted","48 activated; 6 W4 retained; second case study","Post-training data and safety set frozen","Deck v1 and 18-month use-of-funds model",48,6,,,,
13,2026-10-06 to 2026-10-12,"Mobile reliability release; launch media captured","55 activated; 7 W4 retained","Checkpoint comparison, cost and latency evidence","Data room v1; 20 warm-intro requests mapped",55,7,,,,
14,2026-10-13 to 2026-10-19,"Product Hunt launch date locked only if retention gates are green","60 activated; 9 W4 retained; third case study","Pretraining exit criteria reviewed","Investor application answers and objections bank",60,9,,,,
15,2026-10-20 to 2026-10-26,"Launch candidate stable across both stores","65 activated; 10 W4 retained minimum bar","Two-GPU middle-case pretraining completes; post-training begins","Corporate document dry run; IP schedule complete",65,10,,,,
16,2026-10-27 to 2026-11-02,"No new features without direct activation/retention value","70 activated; 11 W4 retained","Model card and technical report draft; external blind eval starts","Deck v2; diligence questions answered",70,11,,,,
17,2026-11-03 to 2026-11-09,"Public launch/Product Hunt if gates pass","75 activated; 12 W4 retained; testimonials permissioned","Final post-training/evals or transparent RC release","Investor CRM reaches 100-150 qualified targets; Wave 1 scheduled",75,12,,,,
18,2026-11-10 to 2026-11-16,"Bug-fix-only release freeze","80 activated; 14 W4 retained; cohort table frozen","Release/model report final or fallback report final","Family money resolution signed; incorporation package and IP assignment ready",80,14,,,,
final,2026-11-17 to 2026-11-19,"Backup demo and store builds; no risky launch changes","85 activated; 15 W4 retained stretch","Publish reproducible artifact and evidence bundle","Turn 18: execute chosen entity/control/IP steps; submit Wave 1 fundraising outreach",85,15,,,,
