priority,source_id,source_url,evidence_date,revision,payload_selector,inventory_bytes,inventory_scope,budget_bytes,budget_tb,wire_format,content_field,acquisition_shape,admission_status,overlap_family,notes
P0,cc_main_2026_34_wet,https://data.commoncrawl.org/crawl-data/CC-MAIN-2026-34/wet.paths.gz,2026-08-24,sha256:ef80e36ec3ba74717881659752a096f42c94834c778a371ca732292aac3b45ba,all 100000 manifest WET objects,,publisher_rounded_5.84_TiB,6450000000000,6.45,warc_wet_gzip,conversion_record_text,sequential_archive_objects,pilot_and_terms_required,cc_2026_temporal,August captures; rounded release size is not an exact object-byte sum; preserve WARC-Refers-To
P0,cc_main_2026_30_wet,https://data.commoncrawl.org/crawl-data/CC-MAIN-2026-30/wet.paths.gz,2026-07-28,sha256:fed084d0dc49defc01afa95fcda3b70bfc02fa46f472db2041dedee7b38b8640,all 100000 manifest WET objects,,publisher_rounded_5.89_TiB,6500000000000,6.50,warc_wet_gzip,conversion_record_text,sequential_archive_objects,pilot_and_terms_required,cc_2026_temporal,July introduces response UUIDs in indexes; announcement and catalog date bounds differ
P0,cc_main_2026_25_wet,https://data.commoncrawl.org/crawl-data/CC-MAIN-2026-25/wet.paths.gz,2026-06-22,sha256:d8f1900a7f5bcb859eee31b42b4695b5c78e7829ac4df32533ca404fdd58a9ed,all 100000 manifest WET objects,,publisher_rounded_5.69_TiB,6290000000000,6.29,warc_wet_gzip,conversion_record_text,sequential_archive_objects,pilot_and_terms_required,cc_2026_temporal,June announcement and catalog dates differ; use record capture evidence
P0,cc_main_2026_21_wet,https://data.commoncrawl.org/crawl-data/CC-MAIN-2026-21/wet.paths.gz,2026-05-25,sha256:80a5987b51747f5d28116f3157d4f7da3cd6aa84503c0214b19316cf259d5ce9,all 100000 manifest WET objects,,publisher_rounded_5.85_TiB,6460000000000,6.46,warc_wet_gzip,conversion_record_text,sequential_archive_objects,pilot_and_terms_required,cc_2026_temporal,Keep inside protected freshness budget; acquire after newer months
P0,cc_news_2026_08,https://data.commoncrawl.org/crawl-data/CC-NEWS/2026/08/warc.paths.gz,2026-09-04,monthly_manifest_to_freeze,all 490 August NEWS objects,,publisher_rounded_0.477_TiB,540000000000,0.54,warc_gzip,http_response_html,sequential_archive_objects,pilot_and_terms_required,cc_news,Approximately 524467046449 bytes from rounded statistics; article date and capture date remain distinct
P0,cc_news_2026_09_prefix,https://data.commoncrawl.org/crawl-data/CC-NEWS/2026/09/warc.paths.gz,2026-09-04,sha256:f60476c9a4cd9d2b0f01660574ec54fd6967909a3d4e04db3e3a2f9ff31222c1,50-object prefix observed 2026-09-04 22:05:10 GMT,53152407851,exact_observed_prefix_not_full_month,60000000000,0.06,warc_gzip,http_response_html,sequential_archive_objects,freeze_actual_list_before_launch,cc_news,Monthly list grows; this hash is not a substitute for archiving the selected list
P0,cc_2026_path_manifests,https://data.commoncrawl.org/crawl-data/,2026-09-04,four_WET_manifest_hashes_above_and_NEWS_lists_to_freeze,object path lists and bounded catalogue metadata only; no CDX or columnar URL indexes,803340,exact_four_WET_path_lists_only_not_total_metadata,1000000000,0.001,gzip_path_lists,object_keys_not_training_text,small_catalogue_metadata,no_URL_index_scans_or_range_repair,metadata_only,Four WET lists total803340bytes; 1GB is a ceiling not expected transfer; learn object sizes on GET rather than a full HEAD sweep
P0,wikipedia_current_2026_09,https://dumps.wikimedia.org/other/mediawiki_content_current/enwiki/2026-09-01/xml/bzip2/SHA256SUMS,2026-09-02,sha256:0fabd2eddae6631957481391c5613fbea3a39801c61475ce5a3be1e30e6bff07,all 19 current-export XML objects; article-namespace admission,46445603916,exact_full_export_before_namespace_filter,50000000000,0.05,xml_bzip2,revision_wikitext,external_content_manifest,CC_BY_SA_GFDL_and_parser_review,wikipedia,Not history or stubs; retain revision and attribution; raw wikitext is not rendered HTML
P1,hplt3_nonenglish,https://data.hplt-project.org/three/sorted/multilingual.map,2026-04-19,manifest_sha256:eb82cccdc093235f5ffd89fc775963ce9ca6b61857366b91b4b4096991afdb4c,all non-English URLs in multilingual.map,24293461990383,exact_manifest_and_HEAD_inventory,24300000000000,24.30,jsonl_zstd,text,external_content_manifest,collection_terms_and_language_quality_gates,hplt_native_multilingual,All language options preserved; CC0 packaging does not clear underlying works; not a language exposure ratio
P1,hplt3_english_high_wds,https://data.hplt-project.org/three/sorted/eng_Latn.map,2026-04-19,manifest_sha256:eb82cccdc093235f5ffd89fc775963ce9ca6b61857366b91b4b4096991afdb4c,all 10_ objects then deterministic complete 9_ objects under 7 TB,8454812975096,exact_HEAD_WDS9_10_universe_not_selected_list,7000000000000,7.00,jsonl_zstd,text,bounded_external_objects,reconcile_manifest_checksum_discrepancy,hplt_english,English full manifest differs from HEAD by 2280252003 bytes; highest WDS is not a universal optimum
P1,fineweb2_filtered_train,https://huggingface.co/datasets/HuggingFaceFW/fineweb-2,2025-10-27,af9c13333eb981300149d5ca60a8e9d659b276b9,data/*/train/*.parquet; deny all *_removed directories,9443457890178,exact_filtered_train_inventory,9450000000000,9.45,parquet,text,hf_content_snapshot,collection_terms_and_language_quality_gates,cc_multilingual,Exclude 10.703 TB removed material and all test splits; no automatic 2026-freshness credit
P2,helsinki_translation_gap,https://huggingface.co/datasets/Helsinki-NLP/fineweb-edu-translated,2026-04,d82b075a4a8152727b232876aade2ade003e12b9,approved non-English language directories only; budgeted object list,4959537237305,exact_nonEnglish_universe_not_selected_subset,500000000000,0.50,parquet,translated_text_schema_to_confirm,bounded_hf_content_subset,only_for_measured_native_language_gaps,translated_fineweb_edu,Do not acquire all translations or duplicate English; Nemotron translated is an alternative rather than a second funded full pool
P1,dolma35_web,https://huggingface.co/datasets/allenai/dolma3.5_pool,2026-07-10,d2bf6ae7aeda502ff8c5eb5ad425b90ae2f10279,cc_all_dressed/**/*.jsonl.gz;cc_all_dressed_addons/**/*.jsonl.zst,15742893153074,exact_two_component_universe,15750000000000,15.75,jsonl_gzip+jsonl_zstd,text,topic_quality_partitioned_snapshot,calibrate_topic_quality_selection_before_expansion,cc_english,Start with representative higher-quality topic bins; no published Dolma3.5 mixture inferred from Dolma3
P1,dolma35_selected_nonweb,https://huggingface.co/datasets/allenai/dolma3.5_pool,2026-07-10,d2bf6ae7aeda502ff8c5eb5ad425b90ae2f10279,six materialized code components;Olmo-crawled PDF branch;four exact approved S2ORC license suffixes;textbook;wiki;three math components;see audit section7.2,4353618236465,exact_disjoint_component_selection_before_row_admission,4500000000000,4.50,jsonl_gzip_and_jsonl_zstd_and_json_zstd,text,mixed_format_component_snapshot,per_component_license_and_schema_gates,code_pdf_math_shared,Exclude hplt and FinePDF-derived branches; S2ORC exact cc_by cc0 mit public_domain suffixes only; do not use broad cc_by glob
P1,common_corpus,https://huggingface.co/datasets/PleIAs/common_corpus,2026-05-06,307910e4c5d040d6f318e6edf2a2b97849155771,common_corpus_*/*.parquet,4489486652558,exact_parquet_inventory,4500000000000,4.50,parquet,text,hf_content_snapshot,per_record_or_collection_license_review,open_culture_government_science_code,OpenCulture already included; normalize observed open_type values; resolve Various open data labels
P1,finepdfs_train,https://huggingface.co/datasets/HuggingFaceFW/finepdfs,2026-04-03,220bac3acbf07789502c621d2d33952f51ac7f86,data/*/train/*.parquet; exclude tests,5374387457392,exact_train_inventory,5380000000000,5.38,parquet,text,hf_content_snapshot,OCR_language_and_rights_gates,cc_pdf,Parent once; preserve advanced scientific and technical material outside education-only filtering
P1,nemotron_cc_v2_organic_hq,https://huggingface.co/datasets/nvidia/Nemotron-CC-v2,2025-08_release_2026-07_update,2669787c66d18601c0e91167fd520be6c1245865,all High-Quality/*.parquet and Medium-High-Quality/*.parquet,2097917908138,exact_selected_organic_inventory,2100000000000,2.10,parquet,text_publisher_schema,hf_gated_content_subset,full_family_acquisition_after_terms_and_schema_preflight,nemotron_organic_cc,One of three disjoint rows covering the ENTIRE CC-v2 Parquet payload; labels are not acquisition exclusions
P1,nemotron_cc_v2_organic_mq,https://huggingface.co/datasets/nvidia/Nemotron-CC-v2,2025-08_release_2026-07_update,2669787c66d18601c0e91167fd520be6c1245865,all Medium-Quality/*.parquet,3984536664979,exact_selected_organic_inventory,4000000000000,4.00,parquet,text_publisher_schema,hf_gated_content_subset,full_family_acquisition_after_terms_and_schema_preflight,nemotron_organic_cc,Acquire in full as part of CC-v2; final quality masks and training weights are separate
P1,nemotron_cc_v2_transformed,https://huggingface.co/datasets/nvidia/Nemotron-CC-v2,2025-08_release_2026-07_update,2669787c66d18601c0e91167fd520be6c1245865,all Parquet except the three organic quality directories,4250545864776,exact_transformed_and_QA_inventory,4300000000000,4.30,parquet,text_publisher_schema,hf_gated_content_subset,full_family_acquisition_after_terms_and_schema_preflight,nemotron_derivatives,Acquire all synthetic DQA and translated-DQA payload; retain provenance without treating synthetic as low quality
P1,nemotron_cc_v21_organic,https://huggingface.co/datasets/nvidia/Nemotron-CC-v2.1,2025-12,ba6f2aaef7ada865bb08fc08640ca292150097db,all High-Quality/*.parquet and Medium-High-Quality/*.parquet and Medium-Quality/*.parquet,175732623330,exact_selected_organic_inventory,180000000000,0.18,parquet,text_publisher_schema,hf_gated_content_subset,full_family_acquisition_after_terms_and_schema_preflight,nemotron_organic_cc,One of two disjoint rows covering the ENTIRE CC-v2.1 Parquet payload; source dates remain distinct from quality
P1,nemotron_cc_v21_transformed,https://huggingface.co/datasets/nvidia/Nemotron-CC-v2.1,2025-12,ba6f2aaef7ada865bb08fc08640ca292150097db,all Parquet except the three organic quality directories,4414924455462,exact_transformed_inventory,4450000000000,4.45,parquet,text_publisher_schema,hf_gated_content_subset,full_family_acquisition_after_terms_and_schema_preflight,nemotron_derivatives,Acquire the full extension including rephrases translations and Essential STEM DQA; weight only after preparation
P1,ultrafineweb_late2025_hq,https://huggingface.co/datasets/openbmb/Ultra-FineWeb,2026-08-20,02c85641e3d19a854be2e09139c25adaa9518063,data/ultrafineweb_l1_en_hq/**/*.parquet,477974475357,exact_6000_file_selected_inventory,480000000000,0.48,parquet,content,hf_content_subset,redistribution_terms_and_pilot,cc_late2025_selected,New L2/HQ branch omitted by default loader; do not also acquire its full L1 parent initially
P1,ultrafineweb_v14_selected,https://huggingface.co/datasets/openbmb/Ultra-FineWeb,2025-12-03_payload_upload,02c85641e3d19a854be2e09139c25adaa9518063,data/ultrafineweb_en_v1_4/**/*.parquet,6747427279621,exact_56320_file_inventory,6750000000000,6.75,parquet,content,hf_content_subset,pilot_against_other_historical_anchors,selected_fineweb,Through 2025-26; exact branch token count unpublished; do not snapshot historical sibling trees
P2,fineweb_edu,https://huggingface.co/datasets/HuggingFaceFW/fineweb-edu,2025-07_update_2026_experimental_use,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,data/**/*.parquet; exclude sample,4522727684984,exact_parent_subset_inventory,4530000000000,4.53,parquet,text,hf_content_snapshot,older_source_exception_and_marginal_yield,selected_fineweb,May TST and 2026 experiments justify a comparator; old 1.3T headline is not exact current-payload count
P2,dclm_baseline,https://huggingface.co/datasets/mlfoundations/dclm-baseline-1.0-parquet,2024-07_release_2026_experimental_use,817d6752765f6a41261085171dd546b104f60626,filtered/**/*.parquet,7419668271828,exact_baseline_inventory,7420000000000,7.42,parquet,text,hf_content_snapshot,older_source_exception_and_marginal_yield,cc_english,Retain as a serious controlled baseline; not the raw 240T pool and not a mandatory first download
P2,essential_web_2023_2024,https://huggingface.co/datasets/EssentialAI/essential-web-v1.0,2025-06_release_2025-10_update,ce4eccc7e9604667b6d7f32cb6274b8b41f3113d,data/CC-MAIN-2023-*/*.parquet;data/CC-MAIN-2024-*/*.parquet,10125429804428,exact_recent_two_year_snapshot_inventory,10130000000000,10.13,parquet,text,hf_content_subset,older_source_exception_and_marginal_coverage,essential_organic_cc,Ends at 2024-38; 24T is full 75.323 TB pool scale; taxonomy codes are categorical
P2,essential_stem_selected,https://huggingface.co/datasets/EssentialAI/eai-taxonomy-stem-w-dclm,2025-06_with_2025-12_family_use,64c66ca0d184847dcf239bcdfefeafdb2bf11494,data/train-*.parquet,2445503972322,exact_packaged_STEM_inventory,2450000000000,2.45,parquet,text,hf_content_snapshot,conditional_older_specialist_and_overlap_review,essential_stem,Uses DCLM classifier rather than concatenating full DCLM; overlaps Essential and derivative DQA
